Project Name,Modified,Active,Launch Date,Launch status,Other comments,Pipeline,BU,Company,Category,Brand,Exp Rev 2026 (M AED),Exp.Rev. 24 months (M AED),Product code,Code creation date,Target Project Monthly Net Sales (NR) (M AED),Actuals Monthly Net Sales (NR) (M AED),Target Project Monthly Net Sales (Volume),Actuals Monthly Net Sales (Volume),Project Month Target GP (M AED),Actuals Month GP (M AED),Project Month Target NP (M AED),Actuals Month NP (M AED),YTD Target Project Net Sales (NR) (M AED),YTD Actuals Net Sales (NR) (M AED),YTD Target Project Sales (Volume),YTD Actuals Sales (Volume),YTD Project Target GP (M AED),YTD Actuals GP (M AED),YTD Project Target NP (M AED),YTD Actuals NP (M AED),Modified By
Chicken Mortadella With Black Pepper 2.5 KG - Iraq,06-09-2026 01:15,True,6/25/2025,True,There are no sales recorded yet for this item.,Pipeline 2025,Protein & Frozen,Nabil,Breaded,Nabil,0.0,0.0,,04-08-2025,0.0,0.0,,,,,,,0.0,0.0,,,,,,,Osama Abu Laila
Chicken Mortadella With Olives 2.5 KG - Iraq,06-09-2026 01:15,True,6/25/2025,True,There are no sales recorded yet for this item.,Pipeline 2025,Protein & Frozen,Nabil,Breaded,Nabil,0.0,0.0,,04-08-2025,0.0,0.0,,,,,,,0.0,0.0,,,,,,,Osama Abu Laila
Chicken Mortadella With Vegetables 2.5 KG - Iraq,06-09-2026 01:15,True,6/25/2025,True,There are no sales recorded yet for this item.,Pipeline 2025,Protein & Frozen,Nabil,Breaded,Nabil,0.0,0.0,,04-08-2025,0.0,0.0,,,,,,,0.0,0.0,,,,,,,Osama Abu Laila
Cold Cuts (Beef Bacon),06-10-2026 04:41,True,12/31/2024,True,This product didnt provide income this year,2023 + 2024,Protein & Frozen,Atyab,Cold Cuts,Atyab,0.0,0.1,21671,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,Maged Galal
Jasmis beef burger 110 gm,06-09-2026 01:16,True,10/31/2024,True,There are no sales recorded yet for this item.,2023 + 2024,Protein & Frozen,Nabil,Breaded,Nabil,0.0,0.7,FGF12411,10/31/2024,0.0,0.0,,,,,,,0.0,0.0,,,,,,,Osama Abu Laila
KBW Beef Burger 150 gm,06-10-2026 00:12,True,4/20/2025,True,There are no sales recorded yet for this item.,Pipeline 2025,Protein & Frozen,Nabil,Beef product,Nabil,0.7,0.0,FGF12454,4/20/2025,0.0,0.0,,,,,,,0.0,0.0,,,,,,,Mo’men Mafalha
KBW Beef Burger 45 gm,06-09-2026 01:17,True,4/20/2025,True,There are no sales recorded yet for this item.,Pipeline 2025,Protein & Frozen,Nabil,Beef product,Nabil,0.3,0.0,FGF12453,4/20/2025,0.0,0.0,,,,,,,0.0,0.0,,,,,,,Osama Abu Laila
KBW Crunchy Chicken 1.1 KG,06-09-2026 01:26,True,4/20/2025,True,There are no sales recorded yet for this item.,Pipeline 2025,Protein & Frozen,Nabil,Breaded,Nabil,0.2,0.0,FGF12455,4/20/2025,0.0,0.0,,,,,,,0.0,0.0,,,,,,,Osama Abu Laila
KBW Tempura Chicken Burger 1 KG,06-09-2026 01:25,True,4/20/2025,True,There are no sales recorded yet for this item.,Pipeline 2025,Protein & Frozen,Nabil,Breaded,Nabil,0.13,0.0,,4/20/2025,0.0,0.0,,,,,,,0.0,0.0,,,,,,,Osama Abu Laila
KBW Tempura Chicken Nugget 1 KG,06-09-2026 01:25,True,4/20/2025,True,There are no sales recorded yet for this item.,Pipeline 2025,Protein & Frozen,Nabil,Breaded,Nabil,0.7,0.0,FGF12457,4/20/2025,0.0,0.0,,,,,,,0.0,0.0,,,,,,,Osama Abu Laila
Nabil baffulo chicken chunk 1 KG,06-09-2026 01:25,True,10/31/2024,True,,2023 + 2024,Protein & Frozen,Nabil,Breaded,Nabil,0.02,0.1,,10/31/2024,0.0,0.0,,,,,,,0.0,0.0,,,,,,,Osama Abu Laila
Nabil baffulo chicken chunk 750 gm,06-10-2026 00:12,True,10/31/2024,True,,2023 + 2024,Protein & Frozen,Nabil,Breaded,Nabil,0.09,0.1,FGF12413,10/31/2024,0.0,0.0,,,,,,,0.0,0.05,,,,,,,Mo’men Mafalha
Nabil Beef Hotdog 17 CM 1 KG,06-09-2026 01:25,True,5/25/2025,True,There are no sales recorded yet for this item.,Pipeline 2025,Protein & Frozen,Nabil,Cold Cuts,Nabil,0.06,0.0,FGF12452,04-08-2025,0.0,0.0,,,,,,,0.0,0.0,,,,,,,Osama Abu Laila
Nabil Sliced dry beef salami cal 80 - 0.5 Kg,06-09-2026 01:27,True,01-09-2025,True,There are no sales recorded yet for this item.,Pipeline 2025,Protein & Frozen,Nabil,Breaded,Nabil,0.0,0.0,,01-09-2025,0.0,0.0,,,,,,,0.0,0.0,,,,,,,Osama Abu Laila
MC Beef Slice bacon 350 gm,06-09-2026 01:27,True,11-05-2024,True,There are no sales recorded yet for this item. since LTO,2023 + 2024,Protein & Frozen,Nabil,Cold Cuts,Nabil,0.0,0.0,FGF12407,09-05-2024,0.0,0.0,,,,,,,0.0,0.0,,,,,,,Osama Abu Laila
